season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,IND,00-0037664,A.Pierce,targets,2,7,59,3,22,4,37,0.1186,0.1364,0.1081,0.0283
2026,CHI,00-0039919,R.Odunze,targets,2,7,56,2,27,5,29,0.125,0.0741,0.1724,-0.0983
2026,WAS,00-0039686,C.Yankoff,targets,1,1,34,0,15,1,19,0.0294,0.0,0.0526,-0.0526
2026,ARI,00-0041027,J.Love,rush_attempts,2,20,49,6,15,14,34,0.4082,0.4,0.4118,-0.0118
2026,LAC,00-0040727,T.Harris,targets,2,9,53,4,23,5,30,0.1698,0.1739,0.1667,0.0072
2026,ATL,00-0038542,Bi.Robinson,rush_attempts,2,37,59,6,9,31,50,0.6271,0.6667,0.62,0.0467
2026,NYG,00-0037838,I.Likely,targets,2,18,61,9,25,9,36,0.2951,0.36,0.25,0.11
2026,GB,00-0036264,J.Love,rush_attempts_qb,1,1,21,1,4,0,17,0.0476,0.25,0.0,0.25
2026,MIA,00-0041529,K.Coleman,targets,1,2,27,1,6,1,21,0.0741,0.1667,0.0476,0.119
2026,TEN,00-0040705,C.Dike,targets,1,1,28,0,11,1,17,0.0357,0.0,0.0588,-0.0588
2026,SF,00-0036887,L.Farrell,targets,1,2,34,0,16,2,18,0.0588,0.0,0.1111,-0.1111
2026,PHI,00-0038555,T.Bigsby,rush_attempts,2,14,50,3,16,11,34,0.28,0.1875,0.3235,-0.136
2026,HOU,00-0038618,X.Hutchinson,targets,2,15,87,6,37,9,50,0.1724,0.1622,0.18,-0.0178
2026,BUF,00-0037261,K.Shakir,targets,2,12,57,5,27,7,30,0.2105,0.1852,0.2333,-0.0481
2026,CHI,00-0040735,L.Burden,targets,2,12,56,7,27,5,29,0.2143,0.2593,0.1724,0.0868
2026,ARI,00-0037263,T.Allgeier,rush_attempts,2,22,49,6,15,16,34,0.449,0.4,0.4706,-0.0706
2026,ARI,00-0033307,K.Bourne,targets,2,11,63,4,25,7,38,0.1746,0.16,0.1842,-0.0242
2026,LAC,00-0038544,Q.Johnston,targets,2,11,53,4,23,7,30,0.2075,0.1739,0.2333,-0.0594
2026,NYG,00-0033376,P.Ricard,rush_attempts,1,0,35,0,18,0,17,0.0,0.0,0.0,0.0
2026,MIN,00-0037525,J.Mason,rush_attempts,1,15,31,5,12,10,19,0.4839,0.4167,0.5263,-0.1096
2026,GB,00-0038685,C.Brooks,rush_attempts,2,11,39,5,9,6,30,0.2821,0.5556,0.2,0.3556
2026,MIA,00-0041525,C.Bell,targets,2,3,50,0,16,3,34,0.06,0.0,0.0882,-0.0882
2026,SF,00-0033280,C.McCaffrey,rush_attempts,2,20,52,6,13,14,39,0.3846,0.4615,0.359,0.1026
2026,PHI,00-0034351,D.Goedert,targets,2,7,56,4,30,3,26,0.125,0.1333,0.1154,0.0179
2026,CLE,00-0038794,J.McLaughlin,rush_attempts,1,1,20,0,9,1,11,0.05,0.0,0.0909,-0.0909
2026,LAC,00-0038046,C.Kolar,targets,1,3,26,1,13,2,13,0.1154,0.0769,0.1538,-0.0769
2026,MIA,00-0038824,R.Miller,targets,1,1,23,1,10,0,13,0.0435,0.1,0.0,0.1
2026,CHI,00-0040126,C.Loveland,targets,2,5,56,2,27,3,29,0.0893,0.0741,0.1034,-0.0294
