season,week,game_id,team,player_id,player_name,position,spine_metric,spine_opportunities,spine_opps_stress,spine_opps_calm,team_spine_opportunities,team_spine_opps_stress,team_spine_opps_calm,targets,rushes,team_qb_designed_runs,team_qb_runs_inside_5,team_qb_runs_stress
2026,2,2026_02_IND_KC,KC,00-0036637,N.Gray,TE,targets,1,0,1,43,20,23,1,0,0,0,0
2026,2,2026_02_JAX_DEN,DEN,00-0036158,J.Dobbins,RB,rush_attempts,10,3,7,28,16,12,0,10,5,0,4
2026,2,2026_02_JAX_DEN,JAX,00-0034960,J.Meyers,WR,targets,1,1,0,28,10,18,1,0,2,0,1
2026,2,2026_02_LV_LAC,LAC,00-0036355,J.Herbert,QB,rush_attempts_qb,2,2,0,31,9,22,0,2,2,1,2
2026,2,2026_02_LV_LAC,LV,00-0037304,C.Heyward,FB,rush_attempts,1,1,0,28,12,16,0,1,3,0,1
2026,2,2026_02_MIA_SF,MIA,00-0040198,O.Gordon,RB,rush_attempts,3,1,2,28,12,16,0,3,1,0,1
2026,2,2026_02_MIN_CHI,MIN,00-0032950,C.Wentz,QB,rush_attempts_qb,2,2,0,27,9,18,0,2,2,0,2
2026,2,2026_02_MIN_CHI,CHI,00-0039918,C.Williams,QB,rush_attempts_qb,2,1,1,28,8,20,0,2,2,0,1
2026,2,2026_02_NO_BAL,NO,00-0041067,B.Lance,WR,targets,1,0,1,32,15,17,1,0,7,2,5
2026,2,2026_02_NYG_LA,NYG,00-0031503,J.Winston,QB,rush_attempts_qb,2,2,0,21,6,15,0,2,2,0,2
2026,2,2026_02_PHI_TEN,TEN,00-0034837,C.Ridley,WR,targets,2,0,2,17,10,7,2,0,2,1,2
2026,2,2026_02_PIT_NE,PIT,00-0035594,T.Homer,RB,rush_attempts,2,0,2,21,4,17,0,2,0,0,0
2026,2,2026_02_PIT_NE,NE,00-0039851,D.Maye,QB,rush_attempts_qb,2,0,2,26,8,18,0,2,2,0,0
2026,2,2026_02_SEA_ARI,ARI,00-0037157,Z.Knight,RB,rush_attempts,2,0,2,16,5,11,0,2,0,0,0
2026,2,2026_02_WAS_DAL,WAS,00-0041096,K.Allen,RB,rush_attempts,5,1,4,25,7,18,0,5,1,0,1
2026,1,2026_01_ARI_LAC,ARI,00-0038559,Mi.Wilson,WR,targets,7,2,5,37,14,23,7,0,5,0,3
2026,1,2026_01_ARI_LAC,LAC,00-0040189,O.Gadsden,TE,targets,2,1,1,27,10,17,2,0,0,0,0
2026,1,2026_01_ATL_PIT,ATL,00-0035208,O.Zaccheaus,WR,targets,1,0,1,19,6,13,1,0,0,0,0
2026,1,2026_01_BUF_HOU,BUF,00-0034857,J.Allen,QB,rush_attempts_qb,5,3,2,20,8,12,0,5,5,1,3
2026,1,2026_01_CLE_JAX,CLE,00-0040784,Q.Judkins,RB,rush_attempts,12,3,9,19,6,13,2,12,3,0,2
2026,1,2026_01_CLE_JAX,JAX,00-0036971,T.Lawrence,QB,rush_attempts_qb,2,1,1,32,10,22,0,2,5,0,2
2026,1,2026_01_DAL_NYG,NYG,00-0040691,J.Dart,QB,rush_attempts_qb,9,6,3,35,18,17,0,9,9,0,6
2026,1,2026_01_DEN_KC,DEN,00-0040730,R.Harvey,RB,rush_attempts,3,1,2,14,1,13,4,3,2,0,0
2026,1,2026_01_DEN_KC,KC,00-0038104,T.Thornton,WR,targets,1,1,0,25,12,13,1,0,3,0,3
2026,1,2026_01_GB_MIN,MIN,00-0035249,J.Oliver,TE,targets,4,0,4,24,13,11,4,0,4,0,2
2026,1,2026_01_GB_MIN,GB,00-0039811,M.Lloyd,RB,rush_attempts,13,1,12,21,4,17,1,13,1,0,1
2026,1,2026_01_MIA_LV,MIA,00-0041524,W.Kacmarek,TE,targets,1,0,1,27,6,21,1,0,1,0,0
2026,1,2026_01_NYJ_TEN,NYJ,00-0039794,B.Allen,RB,rush_attempts,10,4,6,37,14,23,1,10,4,0,2
2026,1,2026_01_NYJ_TEN,TEN,00-0038115,D.Bellinger,TE,targets,1,1,0,28,11,17,1,0,0,0,0
2026,1,2026_01_SF_LA,SF,00-0032775,D.Robinson,WR,targets,3,2,1,34,16,18,3,0,3,0,2
2026,1,2026_01_WAS_PHI,WAS,00-0039910,J.Daniels,QB,rush_attempts_qb,2,2,0,29,13,16,0,2,2,0,2
2026,1,2026_01_WAS_PHI,PHI,00-0036912,D.Smith,WR,targets,6,4,2,22,11,11,6,0,2,0,2
2026,2,2026_02_CIN_HOU,HOU,00-0040583,W.Marks,RB,rush_attempts,8,3,5,15,4,11,6,8,0,0,0
2026,2,2026_02_CLE_TB,CLE,00-0036407,J.Jeudy,WR,targets,1,0,1,30,11,19,1,0,4,0,2
2026,2,2026_02_CLE_TB,TB,00-0033921,C.Godwin,WR,targets,3,1,2,33,16,17,3,1,1,0,1
2026,2,2026_02_DET_BUF,BUF,00-0034857,J.Allen,QB,rush_attempts_qb,9,7,2,31,14,17,0,9,9,1,7
2026,2,2026_02_GB_NYJ,NYJ,00-0037805,J.Ruckert,TE,targets,2,1,1,36,18,18,2,0,1,0,0
2026,2,2026_02_IND_KC,IND,00-0030279,K.Allen,WR,targets,5,3,2,30,12,18,5,0,1,0,1
2026,2,2026_02_IND_KC,KC,00-0040646,J.Royals,WR,targets,2,1,1,43,20,23,2,0,0,0,0
2026,2,2026_02_JAX_DEN,DEN,00-0033881,E.Engram,TE,targets,1,0,1,29,11,18,1,0,5,0,4
2026,2,2026_02_JAX_DEN,JAX,00-0036590,Q.Morris,TE,targets,1,0,1,28,10,18,1,0,2,0,1
2026,2,2026_02_LV_LAC,LAC,00-0038454,K.Mitchell,RB,rush_attempts,5,1,4,31,9,22,1,5,2,1,2
2026,2,2026_02_LV_LAC,LV,00-0040894,M.Benson,WR,targets,1,1,0,29,10,19,1,0,3,0,1
2026,2,2026_02_MIA_SF,MIA,00-0038128,M.Willis,QB,rush_attempts_qb,1,1,0,28,12,16,0,1,1,0,1
2026,2,2026_02_MIN_CHI,MIN,00-0036425,D.Dallas,RB,rush_attempts,2,0,2,27,9,18,1,2,2,0,2
2026,2,2026_02_MIN_CHI,CHI,00-0036290,C.Kmet,TE,targets,1,1,0,30,18,12,1,0,2,0,1
2026,2,2026_02_NO_BAL,NO,00-0036040,J.Johnson,TE,targets,4,4,0,32,15,17,4,0,7,2,5
2026,2,2026_02_NYG_LA,NYG,00-0036893,N.Harris,RB,rush_attempts,4,2,2,21,6,15,0,4,2,0,2
2026,2,2026_02_PHI_TEN,TEN,00-0038117,W.Robinson,WR,targets,1,1,0,17,10,7,1,0,2,1,2
2026,2,2026_02_PIT_NE,PIT,00-0036862,B.Skowronek,WR,targets,1,0,1,37,11,26,1,0,0,0,0
2026,2,2026_02_PIT_NE,NE,00-0040734,T.Henderson,RB,rush_attempts,16,5,11,26,8,18,0,16,2,0,0
2026,2,2026_02_SEA_ARI,ARI,00-0039849,M.Harrison,WR,targets,1,0,1,26,11,15,1,0,0,0,0
