season,team,player_id,player_name,opportunity_type,team_opp_i20,team_opp_i10,team_opp_i5,opp_i20,yds_i20,td_i20,pct_i20_intra,pct_i20_shrunk,opp_i10,yds_i10,td_i10,pct_i10_intra,pct_i10_shrunk,opp_i5,yds_i5,td_i5,pct_i5_intra,pct_i5_shrunk,opp_g2g,td_g2g,pct_g2g_shrunk
2026,DEN,00-0036613,J.Waddle,target,17,9,4,1,8,0,0.0588,0.0476,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,KC,00-0039067,R.Rice,target,25,10,8,2,19,1,0.08,0.069,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,DEN,00-0039868,T.Franklin,target,17,9,4,1,0,0,0.0588,0.0476,1,0,0,0.1111,0.0769,0,0,0,0.0,0.0,1,0,0.0667
2026,MIN,00-0035229,T.Hockenson,target,15,5,3,2,16,1,0.1333,0.1053,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,MIN,00-0038994,J.Addison,target,15,5,3,1,0,0,0.0667,0.0526,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,GB,00-0039811,M.Lloyd,target,18,9,2,5,14,1,0.2778,0.2273,3,7,1,0.3333,0.2308,0,0,0,0.0,0.0,3,1,0.2308
2026,GB,00-0038090,S.Moore,target,18,9,2,1,0,0,0.0556,0.0455,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,MIA,00-0039880,M.Washington,target,14,4,1,1,4,0,0.0714,0.0556,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LV,00-0039066,M.Mayer,target,22,6,4,1,0,0,0.0455,0.0385,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LV,00-0038563,T.Tucker,target,22,6,4,1,0,0,0.0455,0.0385,1,0,0,0.1667,0.1,0,0,0,0.0,0.0,1,0,0.0909
2026,LV,00-0040122,A.Jeanty,target,22,6,4,13,47,2,0.5909,0.5,4,2,0,0.6667,0.4,4,2,0,1.0,0.5,5,0,0.4545
2026,LV,00-0040729,J.Bech,target,22,6,4,2,18,1,0.0909,0.0769,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,LV,00-0035891,C.White,target,22,6,4,2,24,2,0.0909,0.0769,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,SEA,00-0038543,J.Smith-Njigba,target,27,13,8,6,26,2,0.2222,0.1935,3,7,1,0.2308,0.1765,0,0,0,0.0,0.0,1,1,0.0667
2026,SEA,00-0037545,R.Shaheed,target,27,13,8,1,4,0,0.037,0.0323,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NE,00-0041395,E.Raridon,target,3,1,1,1,2,1,0.3333,0.1429,1,2,1,1.0,0.2,1,2,1,1.0,0.2,1,1,0.1667
2026,NE,00-0033090,H.Henry,target,3,1,1,1,4,0,0.3333,0.1429,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.1667
2026,SEA,00-0039299,G.Holani,target,27,13,8,6,16,0,0.2222,0.1935,2,2,0,0.1538,0.1176,2,2,0,0.25,0.1667,2,0,0.1333
2026,NO,00-0035644,N.Fant,target,22,12,5,1,8,1,0.0455,0.0385,1,8,1,0.0833,0.0625,0,0,0,0.0,0.0,1,1,0.0714
2026,DET,00-0039139,J.Gibbs,target,27,12,9,13,45,3,0.4815,0.4194,6,7,2,0.5,0.375,5,8,2,0.5556,0.3846,3,2,0.25
2026,DET,00-0037240,J.Williams,target,27,12,9,1,10,0,0.037,0.0323,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NO,00-0037239,C.Olave,target,22,12,5,1,9,0,0.0455,0.0385,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,NO,00-0036973,T.Etienne,target,22,12,5,4,16,0,0.1818,0.1538,1,2,0,0.0833,0.0625,1,2,0,0.2,0.1111,0,0,0.0
2026,NYJ,00-0041032,K.Sadiq,target,14,5,5,1,3,1,0.0714,0.0556,1,3,1,0.2,0.1111,1,3,1,0.2,0.1111,1,1,0.125
2026,TEN,00-0035261,T.Pollard,target,16,8,5,5,14,0,0.3125,0.25,3,10,0,0.375,0.25,1,1,0,0.2,0.1111,4,0,0.3077
2026,NYJ,00-0038120,B.Hall,target,14,5,5,5,15,1,0.3571,0.2778,2,5,1,0.4,0.2222,2,5,1,0.4,0.2222,1,0,0.125
2026,NYJ,00-0039794,B.Allen,target,14,5,5,3,13,1,0.2143,0.1667,1,5,1,0.2,0.1111,1,5,1,0.2,0.1111,1,1,0.125
2026,TEN,00-0040170,E.Ayomanor,target,16,8,5,3,11,1,0.1875,0.15,1,0,0,0.125,0.0833,1,0,0,0.2,0.1111,1,0,0.0769
2026,TEN,00-0039032,T.Spears,target,16,8,5,1,1,0,0.0625,0.05,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.0769
2026,SF,00-0033288,G.Kittle,target,22,13,8,3,20,1,0.1364,0.1154,2,8,0,0.1538,0.1176,0,0,0,0.0,0.0,1,0,0.0667
2026,SF,00-0035719,D.Samuel,target,22,13,8,3,20,1,0.1364,0.1154,2,5,0,0.1538,0.1176,1,3,0,0.125,0.0833,2,0,0.1333
2026,SF,00-0032775,D.Robinson,target,22,13,8,2,11,0,0.0909,0.0769,1,0,0,0.0769,0.0588,1,0,0,0.125,0.0833,1,0,0.0667
2026,LA,00-0037840,K.Williams,target,16,10,5,7,28,2,0.4375,0.35,5,22,2,0.5,0.3571,2,6,1,0.4,0.2222,4,1,0.3333
2026,LA,00-0036244,C.Parkinson,target,16,10,5,1,6,0,0.0625,0.05,1,6,0,0.1,0.0714,0,0,0,0.0,0.0,1,0,0.0833
2026,LA,00-0037557,R.Rivers,target,16,10,5,2,6,0,0.125,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CIN,00-0036900,J.Chase,target,18,6,6,2,18,1,0.1111,0.0909,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,TB,00-0038129,C.Otton,target,20,4,1,2,13,0,0.1,0.0833,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CIN,00-0038619,A.Iosivas,target,18,6,6,1,0,0,0.0556,0.0455,1,0,0,0.1667,0.1,1,0,0,0.1667,0.1,1,0,0.125
