season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,2,REG,2026_02_JAX_DEN,00-0039893,JAX,DEN,3,8,40,0,0,0,82,7.0,3,-1.19087304873392,0,1,1,1,0,0.487804878048781,0.285714285714286,0.271523178807947,0.618637653736991,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0039894,KC,IND,5,7,25,1,0,0,40,19.0,2,0.446146015543491,0,1,1,0,0,0.625,0.162790697674419,0.152671755725191,0.351056275519262,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,00-0039897,LAC,LV,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0039898,WAS,DAL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039901,BUF,DET,6,6,63,0,0,0,48,15.0,4,5.86813501321012,0,2,1,1,0,1.3125,0.214285714285714,0.204255319148936,0.464407294832827,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039904,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0039905,TB,CLE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,00-0039908,CIN,HOU,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0039910,WAS,DAL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,00-0039912,WAS,DAL,1,1,6,0,0,0,4,2.0,0,0.327493563294411,0,0,0,0,0,1.5,0.0294117647058824,0.011142061281337,0.0519170899557595,20260925T013701Z
