season,team,player_id,player_name,position,games,spine_metric,spine_opps,team_spine_opps,share_overall,spine_opps_stress,team_spine_opps_stress,share_stress,spine_opps_calm,team_spine_opps_calm,share_calm,confidence_delta,depth_pos,depth_rank,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,td_i20,td_i5,team_opp_i20,pct_i20_intra,pct_i20_shrunk,pct_i10_shrunk,pct_i5_shrunk,pct_g2g_shrunk,touches,scrimmage_yards,yards_per_touch,scrimmage_yards_share_intra,scrimmage_tds,usage_rank_on_team,usage_rank_in_pos_group
2026,PHI,00-0040024,D.Cooper,WR,1,targets,3,34,0.0882,1,19,0.0526,2,15,0.1333,-0.0807,WR,4,18,1,1,1,1,1,1,16,0.0625,0.05,0.1111,0.1667,0.1,2,26,13.0,0.0737,1,9,4
2026,PHI,00-0035662,M.Brown,WR,1,targets,0,34,0.0,0,19,0.0,0,15,0.0,0.0,WR,5,18,,,,,,,,,,,,,2,12,6.0,0.034,0,11,5
2026,TB,00-0039361,B.Irving,RB,2,rush_attempts,25,38,0.6579,7,11,0.6364,18,27,0.6667,-0.0303,RB,1,18,5,1,0,1,1,0,20,0.25,0.2083,0.125,0.0,0.125,36,183,5.08,0.2933,1,1,1
2026,TB,00-0036919,K.Gainwell,RB,2,rush_attempts,7,38,0.1842,3,11,0.2727,4,27,0.1481,0.1246,RB,2,18,2,0,0,0,0,0,20,0.1,0.0833,0.0,0.0,0.0,11,33,3.0,0.0529,0,6,2
2026,WAS,00-0040242,J.Croskey-Merritt,RB,2,rush_attempts,28,54,0.5185,5,20,0.25,23,34,0.6765,-0.4265,RB,1,18,2,1,1,1,1,1,24,0.0833,0.0714,0.0588,0.0833,0.0909,30,104,3.47,0.1518,1,1,1
2026,WAS,00-0037256,R.White,RB,2,rush_attempts,14,54,0.2593,8,20,0.4,6,34,0.1765,0.2235,RB,2,18,4,2,1,1,0,0,24,0.1667,0.1429,0.1176,0.0833,0.0909,22,110,5.0,0.1606,0,3,2
2026,WAS,00-0041096,K.Allen,RB,2,rush_attempts,9,54,0.1667,4,20,0.2,5,34,0.1471,0.0529,RB,3,18,3,1,1,1,0,0,24,0.125,0.1071,0.0588,0.0833,0.0909,9,40,4.44,0.0584,0,5,3
2026,BAL,00-0036550,R.Bateman,WR,2,targets,10,53,0.1887,3,20,0.15,7,33,0.2121,-0.0621,WR,2,18,1,0,0,0,0,0,17,0.0588,0.0476,0.0,0.0,0.0,7,88,12.57,0.2566,1,3,1
2026,BAL,00-0039064,Z.Flowers,WR,1,targets,6,24,0.25,1,9,0.1111,5,15,0.3333,-0.2222,WR,1,18,,,,,,,,,,,,,5,150,30.0,0.2852,1,5,2
2026,BAL,00-0032398,C.Moore,WR,2,targets,5,53,0.0943,4,20,0.2,1,33,0.0303,0.1697,WR,4,18,,,,,,,,,,,,,2,59,29.5,0.0679,0,6,3
2026,BAL,00-0040075,L.Wester,WR,2,targets,4,53,0.0755,0,20,0.0,4,33,0.1212,-0.1212,WR,6,18,,,,,,,,,,,,,3,29,9.67,0.0334,0,8,4
2026,BAL,00-0040870,J.Lane,WR,1,targets,3,24,0.125,3,9,0.3333,0,15,0.0,0.3333,WR,7,18,2,1,1,2,0,0,17,0.1176,0.0952,0.0714,0.1111,0.125,1,11,11.0,0.0209,0,9,5
2026,BAL,00-0039792,D.Walker,WR,1,targets,2,29,0.069,1,11,0.0909,1,18,0.0556,0.0354,WR,3,18,,,,,,,,,,,,,1,47,47.0,0.137,0,10,6
2026,BUF,00-0037248,J.Cook,RB,2,rush_attempts,34,51,0.6667,12,22,0.5455,22,29,0.7586,-0.2132,RB,1,18,8,4,2,3,1,1,20,0.4,0.3333,0.2857,0.1667,0.25,38,208,5.47,0.2388,1,1,1
2026,BUF,00-0039875,R.Davis,RB,1,rush_attempts,1,20,0.05,0,8,0.0,1,12,0.0833,-0.0833,RB,2,18,,,,,,,,,,,,,1,3,3.0,0.0071,0,9,2
2026,BUF,00-0039471,F.Gore,RB,1,rush_attempts,1,20,0.05,0,8,0.0,1,12,0.0833,-0.0833,RB,4,1,,,,,,,,,,,,,1,3,3.0,0.0071,0,10,3
2026,CHI,00-0036275,D.Swift,RB,2,rush_attempts,34,60,0.5667,12,21,0.5714,22,39,0.5641,0.0073,RB,1,18,9,6,4,5,2,2,25,0.36,0.3103,0.3333,0.4,0.4167,40,233,5.83,0.263,3,1,1
2026,CHI,00-0040236,K.Monangai,RB,2,rush_attempts,20,60,0.3333,5,21,0.2381,15,39,0.3846,-0.1465,RB,2,18,4,3,0,0,0,0,25,0.16,0.1379,0.1667,0.0,0.0,24,182,7.58,0.2054,1,2,2
2026,CLE,00-0041547,K.Concepcion,WR,2,targets,11,52,0.2115,3,15,0.2,8,37,0.2162,-0.0162,WR,2,18,2,0,0,0,0,0,10,0.2,0.1429,0.0,0.0,0.0,14,80,5.71,0.1394,0,2,1
2026,CLE,00-0041037,D.Boston,WR,2,targets,11,52,0.2115,5,15,0.3333,6,37,0.1622,0.1712,WR,1,18,2,1,0,0,0,0,10,0.2,0.1429,0.1667,0.0,0.0,7,154,22.0,0.2683,2,3,2
2026,CLE,00-0036407,J.Jeudy,WR,2,targets,5,52,0.0962,0,15,0.0,5,37,0.1351,-0.1351,WR,3,18,,,,,,,,,,,,,2,26,13.0,0.089,0,6,3
2026,CLE,00-0040782,I.Bond,WR,1,targets,1,30,0.0333,0,11,0.0,1,19,0.0526,-0.0526,WR,4,18,,,,,,,,,,,,,1,10,10.0,0.0355,0,9,4
2026,KC,00-0039894,X.Worthy,WR,2,targets,13,68,0.1912,6,32,0.1875,7,36,0.1944,-0.0069,WR,2,18,4,2,2,2,1,1,25,0.16,0.1379,0.1429,0.1667,0.1333,8,43,5.38,0.0458,1,3,1
2026,KC,00-0039067,R.Rice,WR,2,targets,8,68,0.1176,6,32,0.1875,2,36,0.0556,0.1319,WR,1,18,2,0,0,0,1,0,25,0.08,0.069,0.0,0.0,0.0,6,102,17.0,0.1087,1,5,2
2026,KC,00-0038104,T.Thornton,WR,2,targets,5,68,0.0735,4,32,0.125,1,36,0.0278,0.0972,WR,3,18,,,,,,,,,,,,,4,86,21.5,0.161,0,6,3
2026,KC,00-0040646,J.Royals,WR,1,targets,2,43,0.0465,1,20,0.05,1,23,0.0435,0.0065,WR,5,18,1,1,1,1,1,1,25,0.04,0.0345,0.0714,0.0833,0.0667,2,6,3.0,0.0112,1,9,4
2026,KC,00-0040890,C.Allen,WR,1,targets,1,25,0.04,1,12,0.0833,0,13,0.0,0.0833,WR,4,18,,,,,,,,,,,,,,,,,,10,5
2026,MIA,00-0038128,M.Willis,QB,2,rush_attempts_qb,2,41,0.0488,1,16,0.0625,1,25,0.04,0.0225,QB,1,18,1,0,0,0,1,0,14,0.0714,0.0556,0.0,0.0,0.0,8,45,5.63,0.0759,1,9,1
2026,PHI,00-0036389,J.Hurts,QB,2,rush_attempts_qb,5,50,0.1,5,16,0.3125,0,34,0.0,0.3125,QB,1,18,1,1,0,1,0,0,16,0.0625,0.05,0.1111,0.0,0.1,12,62,5.17,0.0896,0,8,1
2026,BAL,00-0034753,M.Andrews,TE,2,targets,13,53,0.2453,6,20,0.3,7,33,0.2121,0.0879,TE,1,18,1,0,0,1,0,0,17,0.0588,0.0476,0.0,0.0,0.0625,10,98,9.8,0.1128,0,2,1
2026,BAL,00-0034798,D.Smythe,TE,2,targets,2,53,0.0377,1,20,0.05,1,33,0.0303,0.0197,TE,2,18,1,1,0,1,0,0,17,0.0588,0.0476,0.0714,0.0,0.0625,1,4,4.0,0.0076,0,11,2
2026,BAL,00-0040879,M.Hibner,TE,1,targets,1,24,0.0417,0,9,0.0,1,15,0.0667,-0.0667,TE,3,18,,,,,,,,,,,,,1,13,13.0,0.0247,0,12,3
2026,CLE,00-0040663,H.Fannin,TE,2,targets,9,52,0.1731,4,15,0.2667,5,37,0.1351,0.1315,TE,1,18,,,,,,,,,,,,,7,75,10.71,0.1307,0,4,1
