team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
BUF,2026,5,D.Kincaid,TE,targets,TE,1,0,38.7,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,31.5,6.5,70.2,50.0,54.5,14,57,0.2456,0.3333,0.1481,-0.1852,1,20,18.75,225
BUF,2026,6,J.Palmer,WR,targets,WR,4,0,36.6,ROTATIONAL CONTRIBUTOR,53.7,0.0,25.1,50.0,61.1,5,57,0.0877,0.0667,0.1111,0.0444,,,38.5,77
BUF,2026,7,D.Knox,TE,targets,TE,2,0,33.6,INSUFFICIENT SAMPLE,59.3,18.4,15.0,50.0,3.1,3,57,0.0526,0.0,0.1111,0.1111,1,20,4.0,12
BUF,2026,8,F.Gore,RB,rush_attempts,RB,4,2,30.0,INSUFFICIENT SAMPLE,50.0,0.0,14.3,83.3,0.9,1,20,0.05,0.0833,0.0,-0.0833,,,3.0,3
BUF,2026,9,D.Moore,WR,targets,WR,1,-2,29.4,ROTATIONAL CONTRIBUTOR,45.4,0.0,40.1,16.7,33.2,8,57,0.1404,0.1667,0.1111,-0.0556,,,16.5,99
BUF,2026,10,R.Davis,RB,rush_attempts,RB,2,-1,24.0,INSUFFICIENT SAMPLE,50.0,0.0,14.3,33.3,0.9,1,20,0.05,0.0833,0.0,-0.0833,,,3.0,3
CAR,2026,1,C.Hubbard,RB,rush_attempts,RB,1,0,71.9,PRIMARY -- TRUSTED UNDER PRESSURE,71.4,83.6,100.0,50.0,26.7,22,40,0.55,0.5,0.6429,0.1429,8,30,5.59,151
CAR,2026,2,J.Coker,WR,targets,WR,2,1,52.0,RISING -- OUT-EARNING DEPTH CHART,37.3,45.7,77.9,66.7,47.0,18,66,0.2727,0.3158,0.2143,-0.1015,5,30,12.75,204
CAR,2026,3,J.Brooks,RB,rush_attempts,RB,4,2,50.0,RISING -- OUT-EARNING DEPTH CHART,59.3,22.6,64.3,83.3,16.9,9,40,0.225,0.1923,0.2857,0.0934,4,30,6.64,73
CAR,2026,4,T.McMillan,WR,targets,WR,1,-1,47.8,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,37.3,42.5,77.9,33.3,51.2,18,66,0.2727,0.3158,0.2143,-0.1015,4,30,17.6,176
CAR,2026,5,X.Legette,WR,targets,WR,3,0,37.2,ROTATIONAL CONTRIBUTOR,47.9,4.6,26.0,50.0,72.5,6,66,0.0909,0.1053,0.0714,-0.0338,1,30,32.0,64
CAR,2026,6,M.Evans,TE,targets,TE,3,0,34.9,INSUFFICIENT SAMPLE,58.9,19.1,13.0,50.0,16.9,3,66,0.0455,0.0,0.1071,0.1071,2,30,11.0,22
CAR,2026,7,D.Waller,TE,targets,TE,2,0,33.1,ROTATIONAL CONTRIBUTOR,49.5,13.5,21.7,50.0,24.8,5,66,0.0758,0.0789,0.0714,-0.0075,2,30,12.2,61
CAR,2026,8,T.Tremble,TE,targets,TE,1,0,31.5,ROTATIONAL CONTRIBUTOR,50.2,4.6,30.3,50.0,11.4,7,66,0.1061,0.1053,0.1071,0.0019,1,30,7.25,29
CAR,2026,9,A.Dillon,RB,rush_attempts,RB,2,-1,30.4,ROTATIONAL CONTRIBUTOR,42.9,0.0,57.1,33.3,3.7,8,40,0.2,0.2692,0.0714,-0.1978,,,3.13,25
CAR,2026,10,K.Pickett,QB,rush_attempts_qb,QB,2,1,29.5,INSUFFICIENT SAMPLE,50.0,0.0,13.6,66.7,14.9,1,21,0.0476,0.0909,0.0,-0.0909,,,10.0,20
CAR,2026,11,Ji.Horn,WR,targets,WR,5,1,26.7,INSUFFICIENT SAMPLE,50.0,0.0,8.4,66.7,0.0,1,34,0.0294,0.0435,0.0,-0.0435,,,,
